Ref,Val,Package,PosX,PosY,Rot,Side
"C1","10u","C_0603_1608Metric",45.000000,-23.775000,-90.000000,top
"C2","100n","C_0402_1005Metric",41.600000,-27.000000,-90.000000,top
"C3","100n","C_0402_1005Metric",30.250000,-23.200000,0.000000,top
"C4","100n","C_0402_1005Metric",30.250000,-24.662500,0.000000,top
"C5","10n","C_0402_1005Metric",24.750000,-29.250000,-90.000000,top
"C6","1u","C_0402_1005Metric",26.200000,-37.600000,90.000000,top
"C7","1u","C_0402_1005Metric",29.250000,-37.642500,90.000000,top
"C8","100n","C_0402_1005Metric",30.600000,-35.800000,180.000000,top
"C9","22u","C_0805_2012Metric",40.250000,-42.612500,90.000000,top
"C10","22u","C_0805_2012Metric",42.750000,-33.450000,90.000000,top
"C11","10p","C_0402_1005Metric",28.200000,-31.000000,-90.000000,top
"C12","10p","C_0402_1005Metric",28.800000,-33.080000,-90.000000,top
"D1","RED","LED_0603_1608Metric",42.750000,-37.287500,90.000000,top
"FB1","120R","L_0603_1608Metric",23.537500,-37.162500,0.000000,top
"J1","USB_B","USB_Micro-B_Wuerth_629105150521",50.550000,-27.662500,90.000000,top
"J2","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",34.400000,-19.687500,-90.000000,top
"J3","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",46.050000,-19.687500,-90.000000,top
"J4","Conn_01x04_Pin","PinSocket_1x04_P2.54mm_Vertical",27.920000,-44.500000,90.000000,top
"R1","10k","R_0402_1005Metric",26.990000,-27.010000,90.000000,top
"R2","1K5","R_0402_1005Metric",42.800000,-40.510000,-90.000000,top
"R3","1k5","R_0402_1005Metric",45.000000,-27.200000,90.000000,top
"R4","1k5","R_0402_1005Metric",31.110000,-40.800000,0.000000,top
"R5","1k5","R_0402_1005Metric",34.000000,-40.800000,0.000000,top
"SW1","SW_SPDT","SW_SPDT_PCM12",20.230000,-26.850000,-90.000000,top
"U1","AMS1117-3.3","SOT-223-3_TabPin2",49.250000,-37.662500,0.000000,top
"U2","STM32F103CBT6","LQFP-48_7x7mm_P0.5mm",35.200000,-29.800000,0.000000,top
"Y1","Crystal_GND24","Crystal_SMD_3225-4Pin_3.2x2.5mm",24.200000,-33.200000,0.000000,top
